#CODE;ENGLISH;ENGLISH
title_erzherzog_of_osterreich_FOA;your highness;your highness
title_erzherzog_of_osterreich_desc;;
title_archmaster_of_the_hunt_of_hre;Arch huntmaster;Erzjägermeister
title_archmaster_of_the_hunt_of_hre_FOA;your serene highness;your serene highness
title_archmaster_of_the_hunt_of_hre_desc;The title as arch huntmaster of the holy roman empire, was bestowed upon the margrave of Meissen.;The title as arch huntmaster of the holy roman empire, was bestowed upon the margrave of Meissen.
ADA;Archduke;Erzherzog
ADA_female;Archduchess;Erzherzogin
ADA_FOA;your highness;your highness
ADA_OF;Archduchy of;Erzherzogtum
KINGCA_female;Duchess;Herzogin
BURGRAVE;Burgrave;Burggraf
BURGRAVINE;Burgravine;Burggräfin
BURGRAVE_FOA;your highness;your highness
BURGRAVE_OF;Burgraviate of;Burggrafschaft
CPALATIN;Count Palatine;Comte Palatin
CEPALATIN;Countess Palatine;Comtesse Palatin
CPALATIN_FOA;your right honourableness;your right honourableness
CPALATIN_OF;Free County of;Palatinat de
GIUDICATO;Giudice;Giudice
GIUDICATO_FOA;;your highness
GIUDICATO_OF;Giudice of;Giudice of
MARQUISATE;Margrave;Marchese
MARCHESA;;Marchesa
MARQUISATE_FOA;your highness;your highness
MARQUISATE_OF;Margraviate of;Marchesato of
MARGRAVE;Margrave;Markgraf
MARGRAVINE;Margravine;Markgräfin
MARGRAVE_FOA;your most honourableness;your most honourableness
MARGRAVE_OF;Margraviate of;Markgrafschaft
LANDGRAVE;Landgrave;Landgraf
LANDGRAVINE;Landgravine;Landgräfin
LANDGRAVE_OF;Landgraviate of;Landgrafschaft
LANDGRAVE_FOA;your grace;your grace
HANSE;;Hochmeister
HANSE_female;;Hochmeisterin
HANSE_title_ruler_consort_female;;Our Lady
HANSE_FOA;;Your Grace
HANSE_OF;;Hochmeister of
Grand_duke;Grand Duke;Grand Duke
Grand_duke_foa;Grand Duke;Grand Duke
Grand_duchy_of;Grand Duchy of;Grand Duchy of
title_female_child;Her Highness;Her Highness
title_male_child;His Highness;His Highness
LANDGRAAFSCHAP;Landgrave;Landgraaf
LANDGRAAFSCHAP_FOA;your highness;your highness
LANDGRAAFSCHAP_OF;Landgraviate of;Landgraafschap
VICOMTE;Viscount;Vicomte
VICOMTE_OF;Viscountcy of;Vicomté de
VICOMTE_FOA;Monseigneur;Monseigneur
VICOMTESSE;Viscountess;Vicomtesse
VICOMTE_title_ruler_consort;Viscount;Vicomte
VICOMTE_title_ruler_consort_female;Viscountess;Vicomtesse
city_baron_occitan;Consul;Consul
CAPITOUL;Capitoul;Capitoul
CAPITOUL_FOA;Your Honor;Your Honor
MAGCONF;Magistrate;Magistrat
MAGCONF_OF;Confederation of;Confédération
VOIEVODAT;Voievod;Voievod
VOIEVODAT_FOA;your highness;your highness
VOIEVODAT_OF;Voievodat of;Voievodat of
JUND_OF;Jund of;Jund of
PRINCE;Prince;Prince
PRINCE_female;Princess;Princesse
Oasis_OF;Oasis of;Oasis of
title_rector_of_burgundy;Rector of Burgundy;Rektor von Burgund
title_rector_of_burgundy_FOA;your serene highness;your serene highness
title_rector_of_burgundy_desc;When William III, Count of Burgundy was assassinated in February 1127, King Lothar III supported the claims of William's uncle Duke Conrad of Zähringen to the countship and conferred on him the regal powers over Burgundy. Lacking a proper title, the Zähringer called themselves dukes and rectors of Burgundy, in order to gain the status of dukes of Burgundy. The Duchy of Burgundy was in fact a part of France, so the royal chancellory avoided the term and the effective power of the rector (in Roman law, a generic term for provincial governor) was restricted to the possessions of the Zähringer east of the Jura.;When William III, Count of Burgundy was assassinated in February 1127, King Lothar III supported the claims of William's uncle Duke Conrad of Zähringen to the countship and conferred on him the regal powers over Burgundy. Lacking a proper title, the Zähringer called themselves dukes and rectors of Burgundy, in order to gain the status of dukes of Burgundy. The Duchy of Burgundy was in fact a part of France, so the royal chancellory avoided the term and the effective power of the rector (in Roman law, a generic term for provincial governor) was restricted to the possessions of the Zähringer east of the Jura.
ULM_FOA;Your Ulmnes;Your Ulmnes
ULM;Ulm;Ulm
title_marcher_lord;Marcher lord;Marcher lord
title_marcher_lord_FOA;your grace;your grace
title_marcher_lord_desc;The welshmarches was created as entites during the process of Norman subjugation of Wales. Being bestowed a marcherlordship meant endowment of priveliges not seen elsewhere in the english kingdom, principally of which was the excemption of royal writ and the freedom to construct castles and grant market rights without royal approval inside the jurisdiction of the lordship.;The welshmarches was created as entites during the process of Norman subjugation of Wales. Being bestowed a marcherlordship meant endowment of priveliges not seen elsewhere in the english kingdom, principally of which was the excemption of royal writ and the freedom to construct castles and grant market rights without royal approval inside the jurisdiction of the lordship.
title_marcher_earl ;Earl of March;Earl of March
title_marcher_earl_FOA;your grace;your grace
title_marcher_earl_desc;The title of earl of march appears as a peerage title in both England and Scotland. In the English case it was first bestowed on baron Roger Mortimer the dominating lord of welsh marshes in 1287. Following a slight intermezzo involving the removal of the baron's head, his son would eventually be restored to the title, and the title would stay with the family for a further three generations.;The title of earl of march appears as a peerage title in both England and Scotland. In the English case it was first bestowed on baron Roger Mortimer the dominating lord of welsh marshes in 1287. Following a slight intermezzo involving the removal of the baron's head, his son would eventually be restored to the title, and the title would stay with the family for a further three generations.
title_marcher_earl_scotland;Earl of March;Earl of March
title_marcher_earl_scotland_FOA;your grace;your grace
title_marcher_earl_scotland_desc;The title of earl of march appears as a peerage title in both England and Scotland. In the Scottish case it was given to the previous earl of Northumberland Gospatric, after he was deprived of his estates by William the conqourer. While Gospatric recived the marches, he never actually assumed the title as earl of March, preffering instead the interchangeable title of Earl of Dunbar. This practice continued for multiple gernerations and it wasn't until Patrick of Dunbar the nominal 8th earl of March inherited in 1289, that the title of Earl of march became the preffered.;The title of earl of march appears as a peerage title in both England and Scotland. In the Scottish case it was given to the previous earl of Northumberland Gospatric, after he was deprived of his estates by William the conqourer. While Gospatric recived the marches, he never actually assumed the title as earl of March, preffering instead the interchangeable title of Earl of Dunbar. This practice continued for multiple gernerations and it wasn't until Patrick of Dunbar the nominal 8th earl of March inherited in 1289, that the title of Earl of march became the preffered.
title_earl_of_arundel;Earl of Arundel;Earl of Arundel
title_earl_of_arundel_FOA;your grace;your grace
title_earl_of_arundel_desc;The title of earl of Arundel was first created for William d'Aubigny who married the daughter of Roger de Montgomerie the constructer of the castle. Subsequently the title by tradition went to who ever owned the castle, a tradition later confirmed by royal writ. The title was often held in parrallel with that of the Earl of Sussex, although nominally the titles wasn't interchangeable.;The title of earl of Arundel was first created for William d'Aubigny who married the daughter of Roger de Montgomerie the constructer of the castle. Subsequently the title by tradition went to who ever owned the castle, a tradition later confirmed by royal writ. The title was often held in parrallel with that of the Earl of Sussex, although nominally the titles wasn't interchangeable.
RAIS;RA'ÍS;RA'ÍS
RAIS_FOA;your highness;your highness
